wafer_names,stage1,stage2,stage3,stage4,stage5
2901,11.9,21.4,65.6,82.9,127.3
2902,10.4,27.6,61.9,79.4,120.8
2903,11.5,20.2,62.2,80.7,121.1
2904,9.8,19.5,60.0,77.5,118.5
2905,11.0,28.0,61.4,79.0,119.0
2906,9.8,19.5,60.4,78.1,119.0
2907,9.7,18.9,58.7,77.1,116.0
2908,9.7,18.9,58.8,77.7,116.5
2909,10.7,19.9,59.2,76.6,116.5
2910,10.7,19.9,58.8,77.1,115.0
2911,9.7,26.0,57.7,75.0,113.8
2912,10.7,19.9,58.7,76.1,115.0
2913,10.3,19.4,58.3,75.6,114.5
2914,11.7,27.1,59.2,76.6,115.4
2915,9.2,25.5,57.2,73.5,112.4
2916,10.7,19.9,59.8,77.1,117.0
2917,11.2,19.4,58.3,75.8,113.6
2918,10.7,19.9,53.7,71.5,104.2
2919,11.2,19.4,58.2,74.5,113.3
2920,10.2,19.4,57.2,74.6,112.3
2921,11.2,20.4,59.2,76.6,115.5
2922,10.7,18.9,56.7,74.0,110.9
2923,9.7,27.1,56.8,73.1,110.9
2924,10.7,18.9,56.7,74.6,110.9
2925,10.7,18.9,56.9,74.3,111.0
2926,10.7,27.2,56.3,73.6,111.4
2927,10.7,18.9,56.7,73.1,110.8
2928,9.7,18.0,56.8,74.2,112.0
2929,11.2,19.5,57.4,73.7,111.5
2930,10.7,27.1,57.7,74.0,113.0
2931,10.7,19.9,57.7,74.1,110.9
2932,10.7,18.9,56.6,74.0,110.7
2933,10.8,18.9,56.7,73.1,110.9
2934,10.2,19.4,57.2,74.6,112.4
2935,10.2,19.4,57.2,73.5,111.3
2936,9.7,17.9,54.6,72.0,107.7
2937,11.2,19.4,58.3,74.6,113.4
2938,9.7,18.9,58.8,76.1,115.9
2939,11.7,19.9,59.8,77.2,115.9
2940,11.8,19.9,57.1,74.5,111.3
2941,11.7,19.9,56.7,74.1,109.8
2942,11.7,19.9,56.7,73.0,109.7
2943,10.2,19.4,56.2,72.5,109.3
3101,10.7,27.0,60.8,76.1,119.0
3102,10.8,26.7,59.4,75.7,116.6
3103,10.7,26.0,59.8,75.1,116.9
3104,8.7,24.1,56.8,73.4,113.2
3105,10.3,25.6,58.7,74.0,114.9
3106,10.3,24.7,58.4,73.8,114.6
3107,10.7,25.0,56.7,73.1,110.8
3108,9.8,24.1,57.8,73.1,111.9
3109,9.7,25.0,55.7,72.1,109.8
3110,9.7,25.0,55.7,72.0,110.8
3111,9.7,24.0,56.7,73.0,111.9
3112,10.7,25.0,56.7,72.0,110.8
3113,8.7,24.0,56.7,72.0,111.8
3114,9.8,24.0,55.6,72.0,109.8
3115,9.7,25.0,56.7,73.1,112.4
3116,10.7,25.0,57.7,73.0,112.8
3117,10.3,26.1,56.7,72.0,110.8
3118,10.2,24.5,56.2,71.5,110.3
3119,10.7,25.0,57.6,73.0,112.8
3120,10.7,25.0,56.6,70.9,110.7
3121,9.7,24.0,53.6,68.9,104.6
3122,10.2,10.2,11.2,72.5,110.3
3123,10.2,24.5,56.1,74.5,110.2
3124,9.7,25.0,56.6,73.0,111.9
3125,10.2,10.2,11.2,,11.2
3126,10.2,25.5,56.2,74.5,111.3
3127,10.2,25.5,56.2,74.5,110.3
3128,10.2,25.6,55.2,72.5,108.3
3129,10.8,26.1,55.7,74.1,109.4
3130,11.7,26.0,56.7,74.0,109.8
3131,9.7,25.0,55.7,73.1,109.8
3132,11.2,26.6,57.2,75.6,111.3
3133,9.7,25.0,54.7,72.0,107.8
3134,8.7,25.0,55.6,72.9,109.7
3135,9.7,25.0,55.6,73.0,109.7
3136,10.8,26.0,55.6,73.0,108.7
3137,9.7,25.0,54.6,72.0,108.7
3138,9.7,26.0,56.6,74.0,110.7
3139,10.7,26.0,55.6,73.0,108.8
3140,9.7,25.0,55.6,73.0,108.8
3141,10.7,26.0,56.6,74.0,109.8
3142,10.7,24.0,53.6,71.0,103.6
3143,9.7,24.0,55.6,74.1,109.8
3301,9.7,25.0,55.6,73.0,109.8
3302,10.7,18.9,56.7,74.0,110.8
3303,9.7,18.9,56.7,73.0,110.8
3304,8.7,25.1,56.7,73.1,111.9
3305,10.7,27.0,56.6,73.0,110.7
3306,9.7,26.1,55.7,72.0,109.8
3307,10.7,26.2,56.8,73.1,110.9
3308,9.7,26.0,55.7,72.0,109.8
3309,10.2,19.4,56.2,73.5,111.3
3310,9.7,17.9,55.8,73.1,109.9
3311,8.7,17.9,54.7,72.0,109.9
3312,9.7,17.8,56.2,72.5,110.3
3313,10.2,18.4,55.2,72.6,109.3
3314,9.7,25.0,54.6,72.0,108.8
3315,9.7,17.9,55.6,73.0,110.8
3316,10.2,18.4,57.2,73.5,111.3
3317,9.7,17.9,55.7,72.0,109.8
3318,9.8,17.9,55.7,73.0,109.8
3319,10.7,19.9,60.7,78.1,118.9
3320,10.7,18.9,57.7,75.1,112.9
3321,10.2,19.4,56.2,73.5,109.3
3322,11.2,19.4,56.1,73.5,109.2
3323,9.2,25.5,55.1,71.4,108.1
3324,10.7,27.0,55.7,72.0,108.7
3325,9.2,24.5,54.0,69.8,105.2
3326,11.8,26.0,55.7,72.0,106.8
3327,9.7,24.0,53.6,70.0,104.7
3328,9.7,26.0,55.6,71.4,108.2
3329,10.7,25.0,54.7,71.0,105.8
3330,10.2,24.5,55.1,71.5,106.2
3331,8.7,24.0,54.7,71.1,107.8
3332,11.2,25.5,55.2,71.5,106.2
3333,10.7,26.0,55.6,71.9,108.8
3334,10.2,25.5,55.1,71.4,108.2
3335,10.2,25.5,55.1,71.5,108.2
3336,10.7,26.0,55.7,71.5,106.3
3337,9.7,25.0,54.7,72.0,108.8
3338,10.7,25.0,55.8,71.1,108.9
3339,9.8,26.0,56.7,73.0,112.3
3340,10.7,26.0,54.7,71.0,105.8
3341,10.8,26.1,56.7,72.1,109.3
3342,9.7,25.0,54.6,71.0,105.7
3343,10.7,25.0,55.7,72.0,108.8
